"item_no","operator","inclusive_alert","previous_only_alert","inclusive_length_alert","previous_only_length_alert","inclusive_width_alert","previous_only_width_alert","inclusive_height_alert","previous_only_height_alert"
249,"Op-10",False,True,False,True,False,False,False,False
250,"Op-10",False,True,False,False,False,False,False,True
251,"Op-10",False,True,False,False,False,True,False,False
252,"Op-10",False,True,False,True,False,False,False,False
255,"Op-10",False,True,False,True,False,False,False,False
256,"Op-10",False,True,False,False,False,True,False,False
259,"Op-10",False,True,False,False,False,True,False,False
262,"Op-10",False,True,False,True,False,False,False,False
264,"Op-10",False,True,False,True,False,False,False,True
266,"Op-10",False,True,False,False,False,True,False,True
267,"Op-10",False,True,False,True,False,True,False,True
268,"Op-10",False,True,False,True,False,True,False,False
269,"Op-10",False,True,False,False,False,True,False,False
276,"Op-11",False,True,False,True,False,False,False,False
282,"Op-11",False,True,False,True,False,True,False,False
284,"Op-11",False,True,False,True,False,False,False,True
285,"Op-11",False,True,False,False,False,True,False,False
286,"Op-11",False,True,False,False,False,False,False,True
292,"Op-12",False,True,False,True,False,False,False,False
293,"Op-12",False,True,False,True,False,False,False,False
296,"Op-12",False,True,False,False,False,False,False,True
299,"Op-12",False,True,False,False,False,False,False,True
300,"Op-12",False,True,False,False,False,True,False,False
302,"Op-12",False,True,False,False,False,True,False,True
304,"Op-12",False,True,False,False,False,True,False,False
306,"Op-12",False,True,False,True,False,False,False,False
312,"Op-13",False,True,False,True,False,False,False,False
313,"Op-13",False,True,False,True,False,False,False,False
314,"Op-13",False,True,False,False,False,True,False,False
315,"Op-13",False,True,False,False,False,True,False,False
317,"Op-13",False,True,False,False,False,True,False,False
319,"Op-13",False,True,False,False,False,True,False,False
320,"Op-13",False,True,False,True,False,False,False,False
326,"Op-13",False,True,False,True,False,False,False,False
334,"Op-14",False,True,False,True,False,False,False,False
343,"Op-14",False,True,False,False,False,True,False,True
347,"Op-14",False,True,False,True,False,False,False,False
349,"Op-14",False,True,False,False,False,False,False,True
351,"Op-14",False,True,False,False,False,True,False,False
352,"Op-14",False,True,False,True,False,False,False,True
355,"Op-14",False,True,False,True,False,False,False,False
359,"Op-14",False,True,False,True,False,False,False,False
369,"Op-15",True,False,False,False,False,False,True,False
370,"Op-15",False,True,False,True,False,False,False,True
373,"Op-15",False,True,False,False,False,False,False,True
374,"Op-15",False,True,False,False,False,False,False,True
377,"Op-15",False,True,False,True,False,False,False,False
379,"Op-15",False,True,False,True,False,False,False,False
380,"Op-15",False,True,False,True,False,False,False,False
389,"Op-16",False,True,False,True,False,True,False,False
394,"Op-16",False,True,False,False,False,False,False,True
396,"Op-16",False,True,False,True,False,False,False,False
398,"Op-16",False,True,False,False,False,True,False,False
399,"Op-16",False,True,False,True,False,True,False,False
400,"Op-16",False,True,False,False,False,True,False,False
404,"Op-16",False,True,False,True,False,False,False,True
405,"Op-16",False,True,False,False,False,True,False,False
417,"Op-17",True,False,True,False,False,False,False,False
419,"Op-17",False,True,False,True,False,False,False,False
421,"Op-17",False,True,False,False,False,True,False,True
424,"Op-17",False,True,False,True,False,False,False,False
426,"Op-17",False,True,False,False,False,True,False,False
428,"Op-17",False,True,False,False,False,False,False,True
436,"Op-18",False,True,False,False,False,True,False,True
438,"Op-18",False,True,False,True,False,False,False,False
443,"Op-18",False,True,False,False,False,True,False,False
453,"Op-18",False,True,False,False,False,False,False,True
455,"Op-18",False,True,False,True,False,False,False,True
465,"Op-19",True,False,False,False,False,False,True,False
467,"Op-19",False,True,False,False,False,False,False,True
468,"Op-19",False,True,False,False,False,False,False,True
470,"Op-19",False,True,False,False,False,False,False,True
472,"Op-19",False,True,False,False,False,False,False,True
475,"Op-19",False,True,False,False,False,True,False,False
476,"Op-19",False,True,False,True,False,False,False,True
477,"Op-19",False,True,False,True,False,False,False,False
479,"Op-19",False,True,False,True,False,False,False,False
485,"Op-20",False,True,False,True,False,False,False,False
486,"Op-20",True,False,False,False,False,False,True,False
491,"Op-20",False,True,False,True,False,False,False,False
492,"Op-20",False,True,False,False,False,True,False,False
496,"Op-20",False,True,False,False,False,True,False,False
498,"Op-20",False,True,False,True,False,False,False,True
500,"Op-20",False,True,False,True,False,False,False,False
